text,taxonomy,keyword,knowledgegraph,concept,entity
lemons,/food and drink/food/condiments and dressings ,lemons ,/foods/fruits/citrus fruits/lemons , , 
limes,/food and drink/food/condiments and dressings ,limes ,/foods/fruits/citrus fruits/limes , , 
citrus fruits,/food and drink/food/herbs and spices ,fruits ,/foods/fruits ,Citrus , 
grapefruit,/food and drink/food/fruits and vegetables ,grapefruit ,/foods/fruits/citrus fruits/grapefruit , , 
juicy orange,/art and entertainment/celebrity fan and gossip ,juicy orange ,/colors/orange/juicy orange ,1975 births , 
apple,/technology and computing/hardware/computer/portable computer/tablet ,apple , , ,apple 
pears,/food and drink/food/fruits and vegetables ,pears ,/foods/fruits/pears , , 
plums,/food and drink/food/fruits and vegetables ,plums ,/foods/fruits/plums , , 
grapes, ,grapes ,/foods/fruits/grapes , , 
wine,/food and drink/beverages/alcoholic beverages/wine ,wine ,/products/beverages/wine , , 
beer,/food and drink/beverages/alcoholic beverages/cocktails and beer ,beer ,/products/beverages/beer , , 
gin,/food and drink/beverages/alcoholic beverages/cocktails and beer ,gin ,/beverages/liquors/spirits/gin , , 
whisky,/food and drink/beverages/alcoholic beverages/cocktails and beer , , , , 
water, ,water ,/products/services/resources/materials/liquids/water , , 
juice, ,juice ,/products/beverages/juice , , 
coca cola,/food and drink/beverages/non alcoholic beverages/soft drinks ,coca cola ,/organizations/companies/coca cola ,Coca-Cola , 
pepsi,/food and drink/beverages/non alcoholic beverages/soft drinks ,pepsi ,/organizations/companies/pepsi , ,pepsi 
milk,/food and drink/food allergies ,milk ,/foods/dairy products/milk , , 
cows,/business and industrial/agriculture and forestry/livestock ,cows ,/animals/cows , , 
horses,/sports/horses ,horses ,/animals/horses , , 
sheep,/business and industrial/agriculture and forestry/livestock ,sheep ,/animals/sheep , , 
wool, ,wool ,/products/materials/wool , , 
cotton,/business and industrial/textile industry ,cotton ,/products/materials/fabrics/cotton , , 
polyester, ,polyester ,/products/materials/polyester , , 
disco,/art and entertainment/music/music genres/electronic music ,disco ,/features/styles/disco , , 
people, ,people ,/people , , 
history,/science/social science/history ,history , , , 
way, ,way ,/people/way , , 
art, ,art ,/products/services/resources/materials/creative works/art , , 
world, ,world ,/people/world , , 
information, ,information , , , 
map,/art and entertainment/movies and tv/movies ,map , , , 
two, , , , , 
family,/education/alumni and reunions ,family ,/people/family , , 
government,"/law, govt and politics/government ",government ,/industries/media/government , , 
health,/health and fitness ,health ,/issues/health , , 
system, , , , , 
computer,/technology and computing/hardware/computer , , , , 
meat,/food and drink/food and grocery retailers/butchers ,meat ,/foods/meat , , 
year, , , , , 
thanks, ,thanks ,/comments/thanks , , 
music,/art and entertainment/music ,music ,/activities/songs/tracks/music , , 
person, ,person ,/people , , 
reading,/hobbies and interests/reading ,reading ,/activities/reading , , 
method, ,method ,/tools/resources/materials/method , , 
data, ,data , , , 
food,/food and drink ,food , , , 
understanding, ,understanding ,/concepts/factors/skills/understanding , , 
theory,/art and entertainment/music/music reference/music composition and theory ,theory ,/books/theory , , 
law,"/law, govt and politics ",law ,/fields/law , , 
bird,/pets/birds ,bird ,/animals/bird , , 
literature,/art and entertainment/books and literature ,literature ,/fields/subjects/literature , , 
problem,/health and fitness/addiction/substance abuse ,problem ,/problems , , 
software,/technology and computing/software ,software ,/products/materials/software , , 
control,/home and garden/pest control ,control ,/activities/functions/control , , 
knowledge, ,knowledge , , , 
power, ,power ,/industries/power , , 
ability, ,ability ,/concepts/factors/ability , , 
economics, ,economics ,/fields/social sciences/economics , , 
love, ,love ,/people/emotions/love , , 
internet, ,internet ,/industries/media/internet , , 
television,/art and entertainment/movies and tv/television ,television ,/industries/media/television , , 
science,/science ,science ,/fields/subjects/science , , 
library, ,library ,/industries/media/library , , 
nature, ,nature ,/activities/events/details/features/factors/nature , , 
